sensor_id,latitude,longitude,timestamp,value
9,46.31227,11.09467,2023-07-15 06:00:00+00:00,41.5
10,46.31411,11.08359,2023-07-15 06:00:00+00:00,35.0
11,46.31593,11.0862,2023-07-15 06:00:00+00:00,32.0
60,46.31769,11.07855,2023-07-15 06:00:00+00:00,91.0
77,46.31392,11.09142,2023-07-15 06:00:00+00:00,45.5
78,46.3157,11.08748,2023-07-15 06:00:00+00:00,111.0
79,46.32395,11.08641,2023-07-15 06:00:00+00:00,505.5
80,46.32267,11.08787,2023-07-15 06:00:00+00:00,53.0
81,46.30213,11.08946,2023-07-15 06:00:00+00:00,394.6666666666667
84,46.31254,11.09262,2023-07-15 06:00:00+00:00,55.75
86,46.318,11.0896,2023-07-15 06:00:00+00:00,47.0
87,46.32371,11.09077,2023-07-15 06:00:00+00:00,228.33333333333334
88,46.31141,11.08629,2023-07-15 06:00:00+00:00,230.5
1,46.31213,11.08839,2023-07-15 07:00:00+00:00,58.5
2,46.32987,11.08961,2023-07-15 07:00:00+00:00,374.0
4,46.32096,11.0838,2023-07-15 07:00:00+00:00,443.0
5,46.3085,11.08802,2023-07-15 07:00:00+00:00,223.33333333333334
6,46.3169,11.0942,2023-07-15 07:00:00+00:00,95.0
9,46.31227,11.09467,2023-07-15 07:00:00+00:00,40.666666666666664
10,46.31411,11.08359,2023-07-15 07:00:00+00:00,37.0
11,46.31593,11.0862,2023-07-15 07:00:00+00:00,33.5
60,46.31769,11.07855,2023-07-15 07:00:00+00:00,90.0
77,46.31392,11.09142,2023-07-15 07:00:00+00:00,47.0
78,46.3157,11.08748,2023-07-15 07:00:00+00:00,109.5
79,46.32395,11.08641,2023-07-15 07:00:00+00:00,494.3333333333333
80,46.32267,11.08787,2023-07-15 07:00:00+00:00,54.333333333333336
81,46.30213,11.08946,2023-07-15 07:00:00+00:00,389.5
84,46.31254,11.09262,2023-07-15 07:00:00+00:00,27.25
86,46.318,11.0896,2023-07-15 07:00:00+00:00,47.75
87,46.32371,11.09077,2023-07-15 07:00:00+00:00,236.0
88,46.31141,11.08629,2023-07-15 07:00:00+00:00,223.75
1,46.31213,11.08839,2023-07-15 08:00:00+00:00,78.25
2,46.32987,11.08961,2023-07-15 08:00:00+00:00,71.5
4,46.32096,11.0838,2023-07-15 08:00:00+00:00,438.25
5,46.3085,11.08802,2023-07-15 08:00:00+00:00,225.5
6,46.3169,11.0942,2023-07-15 08:00:00+00:00,95.0
9,46.31227,11.09467,2023-07-15 08:00:00+00:00,37.75
10,46.31411,11.08359,2023-07-15 08:00:00+00:00,38.0
11,46.31593,11.0862,2023-07-15 08:00:00+00:00,34.25
60,46.31769,11.07855,2023-07-15 08:00:00+00:00,93.66666666666667
77,46.31392,11.09142,2023-07-15 08:00:00+00:00,50.0
78,46.3157,11.08748,2023-07-15 08:00:00+00:00,111.66666666666667
79,46.32395,11.08641,2023-07-15 08:00:00+00:00,480.5
80,46.32267,11.08787,2023-07-15 08:00:00+00:00,54.333333333333336
81,46.30213,11.08946,2023-07-15 08:00:00+00:00,385.0
84,46.31254,11.09262,2023-07-15 08:00:00+00:00,30.0
86,46.318,11.0896,2023-07-15 08:00:00+00:00,50.0
87,46.32371,11.09077,2023-07-15 08:00:00+00:00,233.66666666666666
88,46.31141,11.08629,2023-07-15 08:00:00+00:00,224.0
1,46.31213,11.08839,2023-07-15 09:00:00+00:00,85.0
2,46.32987,11.08961,2023-07-15 09:00:00+00:00,68.25
4,46.32096,11.0838,2023-07-15 09:00:00+00:00,438.75
5,46.3085,11.08802,2023-07-15 09:00:00+00:00,209.5
6,46.3169,11.0942,2023-07-15 09:00:00+00:00,98.25
9,46.31227,11.09467,2023-07-15 09:00:00+00:00,36.333333333333336
10,46.31411,11.08359,2023-07-15 09:00:00+00:00,42.0
11,46.31593,11.0862,2023-07-15 09:00:00+00:00,35.0
60,46.31769,11.07855,2023-07-15 09:00:00+00:00,84.33333333333333
77,46.31392,11.09142,2023-07-15 09:00:00+00:00,52.0
78,46.3157,11.08748,2023-07-15 09:00:00+00:00,107.75
79,46.32395,11.08641,2023-07-15 09:00:00+00:00,452.3333333333333
80,46.32267,11.08787,2023-07-15 09:00:00+00:00,54.5
81,46.30213,11.08946,2023-07-15 09:00:00+00:00,373.5
84,46.31254,11.09262,2023-07-15 09:00:00+00:00,31.0
86,46.318,11.0896,2023-07-15 09:00:00+00:00,51.5
87,46.32371,11.09077,2023-07-15 09:00:00+00:00,240.0
88,46.31141,11.08629,2023-07-15 09:00:00+00:00,228.0
1,46.31213,11.08839,2023-07-15 10:00:00+00:00,79.75
2,46.32987,11.08961,2023-07-15 10:00:00+00:00,75.33333333333333
4,46.32096,11.0838,2023-07-15 10:00:00+00:00,447.0
5,46.3085,11.08802,2023-07-15 10:00:00+00:00,219.0
6,46.3169,11.0942,2023-07-15 10:00:00+00:00,104.0
9,46.31227,11.09467,2023-07-15 10:00:00+00:00,40.666666666666664
10,46.31411,11.08359,2023-07-15 10:00:00+00:00,44.0
11,46.31593,11.0862,2023-07-15 10:00:00+00:00,37.75
60,46.31769,11.07855,2023-07-15 10:00:00+00:00,50.0
77,46.31392,11.09142,2023-07-15 10:00:00+00:00,56.5
78,46.3157,11.08748,2023-07-15 10:00:00+00:00,117.75
79,46.32395,11.08641,2023-07-15 10:00:00+00:00,460.75
80,46.32267,11.08787,2023-07-15 10:00:00+00:00,55.0
81,46.30213,11.08946,2023-07-15 10:00:00+00:00,365.0
84,46.31254,11.09262,2023-07-15 10:00:00+00:00,34.0
86,46.318,11.0896,2023-07-15 10:00:00+00:00,53.5
87,46.32371,11.09077,2023-07-15 10:00:00+00:00,263.5
88,46.31141,11.08629,2023-07-15 10:00:00+00:00,249.33333333333334
1,46.31213,11.08839,2023-07-15 11:00:00+00:00,67.25
2,46.32987,11.08961,2023-07-15 11:00:00+00:00,84.0
4,46.32096,11.0838,2023-07-15 11:00:00+00:00,452.5
5,46.3085,11.08802,2023-07-15 11:00:00+00:00,234.0
6,46.3169,11.0942,2023-07-15 11:00:00+00:00,108.25
9,46.31227,11.09467,2023-07-15 11:00:00+00:00,41.0
10,46.31411,11.08359,2023-07-15 11:00:00+00:00,47.0
11,46.31593,11.0862,2023-07-15 11:00:00+00:00,40.0
60,46.31769,11.07855,2023-07-15 11:00:00+00:00,51.0
77,46.31392,11.09142,2023-07-15 11:00:00+00:00,69.75
78,46.3157,11.08748,2023-07-15 11:00:00+00:00,120.0
79,46.32395,11.08641,2023-07-15 11:00:00+00:00,483.75
80,46.32267,11.08787,2023-07-15 11:00:00+00:00,59.333333333333336
81,46.30213,11.08946,2023-07-15 11:00:00+00:00,373.0
84,46.31254,11.09262,2023-07-15 11:00:00+00:00,37.75
86,46.318,11.0896,2023-07-15 11:00:00+00:00,55.0
87,46.32371,11.09077,2023-07-15 11:00:00+00:00,294.25
88,46.31141,11.08629,2023-07-15 11:00:00+00:00,266.6666666666667
1,46.31213,11.08839,2023-07-15 12:00:00+00:00,53.0
2,46.32987,11.08961,2023-07-15 12:00:00+00:00,93.25
4,46.32096,11.0838,2023-07-15 12:00:00+00:00,456.0
5,46.3085,11.08802,2023-07-15 12:00:00+00:00,248.75
6,46.3169,11.0942,2023-07-15 12:00:00+00:00,112.33333333333333
9,46.31227,11.09467,2023-07-15 12:00:00+00:00,43.0
